description,category,merchant_base
Achizitie Asigurare locuinta Mall Vitan (RO),Housing,Asigurare locuinta
Cumparare selgros Vitan RID:34521,Groceries,Selgros
PMT POS JD SPORTS Park Lake RO,Other,JD Sports
PURCHASE Vatra Restaurant Branch 12 #14,Restaurants,Vatra Restaurant
POS SALARY TRANSFER Brasov (RO),Salary,SALARY TRANSFER
POS MedLife Constanta Bucharest,Health,MedLife Constanta
PMT Top-up Revolut Constanta RID:34521,Transfer,Top-up Revolut
Alimentara Express Store 04 RID:34521,Groceries,Alimentara Express
PMT Black Cab Sun Plaza (RO),Transport,Black Cab
POS ATELIER FOTO ANDREI Online (RO),Other,Atelier Foto Andrei
PURCHASE DigitalOcean Droplet Vitan #14,Subscriptions,DigitalOcean Droplet
Achizitie p2p payment andrei Park Lake #14,Transfer,P2P payment Andrei
PMT POS Xbox Game Pass Ploiesti RID:34521,Entertainment,Xbox Game Pass
Plata cu cardul Deposit rent EU #14,Housing,Deposit rent
Plata cu cardul Wolt Scooter Store 04 RID:34521,Transport,Wolt Scooter
Cumparare RCS-RDS Bucuresti 12345,Utilities,RCS-RDS
Cumparare FMI Bucuresti Cluj #221,Education,FMI Bucuresti
PMT POS Wok to Walk Timisoara #001,Restaurants,Wok to Walk
Plata cu cardul WHOLE FOODS MARKET Branch 12 RID:34521,Groceries,Whole Foods Market
Plata cu cardul NORWEGIAN AIR Sun Plaza #14,Travel,Norwegian Air
PURCHASE ASE Bucuresti Floreasca #001,Education,ASE Bucuresti
PMT Sephora Ploiesti 12345,Other,Sephora
PMT POS KENTUCKY FRIED CHICKEN Pipera #221,Restaurants,Kentucky Fried Chicken
Cumparare Tommy Hilfiger Pipera #14,Other,Tommy Hilfiger
Cumparare Petexpert Bucharest RO,Other,Petexpert
BIKERO Constanta AUT:887412,Transport,BikeRO
Plata cu cardul PLURALSIGHT Ploiesti (RO),Education,Pluralsight
PMT eToro deposit RO 12345,Investments,eToro deposit
Plata cu cardul Libraria Diverta Sun Plaza RO,Education,Libraria Diverta
Plata POS iCloud Baneasa,Subscriptions,iCloud
PMT POS OMV Bucharest,Transport,OMV
PMT POS Blue Air Cotroceni RO,Travel,Blue Air
Cumparare Restaurantul La Mama Downtown RO,Restaurants,Restaurantul La Mama
PMT POS FIVERR PAYOUT ROM (RO),Salary,Fiverr payout
Cumparare Tichet cultural Edenred Sun Plaza RID:34521,Other,Tichet cultural Edenred
Achizitie Babbel subscription EU #001,Subscriptions,Babbel subscription
bowling cosmos ROM #4321,Entertainment,Bowling Cosmos
PMT HOTELS.COM Iasi #4321,Travel,Hotels.com
PURCHASE aquatim timisoara AFI Cotroceni AUT:887412,Utilities,Aquatim Timisoara
PMT Wolt Scooter Pipera AUT:887412,Transport,Wolt Scooter
Cumparare TICHET CULTURAL EDENRED Mall RO,Other,Tichet cultural Edenred
Plata cu cardul webull deposit Floreasca RID:34521,Investments,Webull deposit
PMT CHIRIE APARTAMENT AFI Cotroceni 12345,Housing,Chirie apartament
PMT POS McD Ploiesti #4321,Restaurants,McD
PURCHASE Eurospar Cluj (RO),Groceries,Eurospar
POS KHAN ACADEMY Park Lake RO,Education,Khan Academy
PMT OTP VIRAMENT Branch 12 #14,Transfer,OTP virament
cez romania Floreasca #4321,Utilities,CEZ Romania
PMT POS asigurare travel city RO RID:34521,Travel,Asigurare travel City
PMT Autostrada A1 Park Lake (RO),Transport,Autostrada A1
PMT POS UBER EATS Mall 12345,Restaurants,Uber Eats
PMT POS SCHIMB VALUTAR RAIFFEISEN Cluj (RO),Transfer,Schimb valutar Raiffeisen
office 365 Bucharest RID:34521,Subscriptions,Office 365
PURCHASE editura polirom carte ROM RID:34521,Education,Editura Polirom carte
PMT bilete fotbal dinamo ROM (RO),Entertainment,Bilete fotbal Dinamo
PURCHASE RAT Sibiu Downtown #001,Transport,RAT Sibiu
PURCHASE VRBO Ploiesti RID:34521,Travel,Vrbo
PURCHASE Edo Sushi Vitan #221,Restaurants,Edo Sushi
PURCHASE Pilates studio Oradea #4321,Health,Pilates studio
MORTGAGE PAYMENT Downtown #4321,Housing,Mortgage payment
PURCHASE cabinet ortopedie Bucuresti #001,Health,Cabinet Ortopedie
Plata POS bootcamp coding AFI Cotroceni RO,Education,Bootcamp Coding
Achizitie Bolt Bucharest #221,Transport,Bolt
Achizitie HBO Max RO Promenada #221,Subscriptions,HBO Max RO
Cumparare ratb Branch 12 RO,Transport,RATB
Plata cu cardul Decont deplasare EU RO,Salary,Decont deplasare
PURCHASE ProtonVPN Center RO,Subscriptions,ProtonVPN
Achizitie FARMACIA HELP Online RO,Health,Farmacia Help
POS facultatea de informatica ROM #14,Education,Facultatea de Informatica
Plata cu cardul Broker BT Capital Downtown RO,Investments,Broker BT Capital
POS enel romania Baneasa AUT:887412,Utilities,Enel Romania
olx imobiliare Pipera #001,Housing,OLX Imobiliare
krispy kreme Baneasa (RO),Restaurants,Krispy Kreme
Plata POS ONORARIU CONSULTANTA Bucharest,Salary,Onorariu consultanta
PMT POS ETF EUNL Bucharest RID:34521,Investments,ETF EUNL
PMT POS DONATIE ONG Park Lake RO,Other,Donatie ONG
Achizitie Chirie apartament Bucuresti (RO),Housing,Chirie apartament
PMT POS Hotel Intercontinental Aviatorilor #4321,Travel,Hotel Intercontinental
PURCHASE TICHETE MASA UP Bucharest #001,Salary,Tichete masa Up
PURCHASE deepl pro ROM #221,Subscriptions,DeepL Pro
Achizitie WENDY'S Branch 12 (RO),Restaurants,Wendy's
POS Pharmacy ROK Constanta,Health,Pharmacy ROK
Stock purchase AAPL Timisoara RID:34521,Investments,Stock purchase AAPL
PMT POS Booking.com Hotel Branch 12 12345,Travel,Booking.com Hotel
Plata POS termoenergetica sud Park Lake #14,Utilities,Termoenergetica Sud
Farmacia 24h Mall Vitan 12345,Health,Farmacia 24h
Achizitie CENTRUL MEDICAL AVIATORILOR Online,Health,Centrul Medical Aviatorilor
Cumparare coursera plus Online 12345,Education,Coursera Plus
PMT POS BOLT*RIDE Promenada AUT:887412,Transport,BOLT*RIDE
PMT ECO MARKET Downtown RID:34521,Groceries,Eco Market
PMT GOG.com Vitan 12345,Entertainment,GOG.com
Achizitie Opera Bucuresti Branch 12 RID:34521,Entertainment,Opera Bucuresti
POS florarie online Oradea,Other,Florarie Online
PMT POS Asigurare locuinta Drumul Taberei #001,Housing,Asigurare locuinta
virament salariu srl Aviatorilor,Salary,VIRAMENT SALARIU SRL
PURCHASE Apple Music AFI Cotroceni #221,Subscriptions,Apple Music
Plata POS Gold purchase BNR Branch 12,Investments,Gold purchase BNR
Plata cu cardul bolt romania Center #221,Transport,Bolt Romania
PMT POS LOFT CAFE Store 04 RID:34521,Restaurants,Loft Cafe
PMT POS CROITORIE EXPRESS Pipera #001,Other,Croitorie Express
PMT SHOPMAGAZIN Bucharest,Groceries,ShopMagazin
POS KENTUCKY FRIED CHICKEN Center 12345,Restaurants,Kentucky Fried Chicken
Plata POS Cel.ro Park Lake #001,Other,Cel.ro
Cumparare Cabinet Cardiologie Sun Plaza #221,Health,Cabinet Cardiologie
Plata cu cardul SIXT RENT A CAR Bucharest RO,Travel,Sixt Rent a Car
PMT POS FESTIVAL AWAKE Timisoara RID:34521,Entertainment,Festival Awake
Achizitie CINEMA CITY AFI Bucuresti RO,Entertainment,Cinema City AFI
PMT Plata chirie iulie Downtown #4321,Housing,Plata chirie iulie
PMT RATB Park Lake RID:34521,Transport,RATB
UNIVERSITATEA CLUJ RO #14,Education,Universitatea Cluj
PMT GARANTIE CHIRIE Galati 12345,Housing,Garantie chirie
Achizitie Skillshare Aviatorilor #221,Education,Skillshare
Achizitie Deposit rent Brasov RO,Housing,Deposit rent
PMT Onorariu consultanta Sun Plaza #221,Salary,Onorariu consultanta
PMT POS SUBSTACK SUBSCRIPTION Park Lake (RO),Subscriptions,Substack subscription
Plata POS RCS RDS Vitan 12345,Utilities,RCS RDS
PURCHASE nintendo eshop Center #001,Entertainment,Nintendo eShop
POS Revolut stocks Pipera 12345,Investments,Revolut stocks
Vila Carpati EU (RO),Travel,Vila Carpati
POS GLOVO Baneasa #14,Restaurants,Glovo
PMT POS GOLD PURCHASE BNR Center,Investments,Gold purchase BNR
ENTERPRISE CAR RENTAL Cotroceni #221,Travel,Enterprise Car Rental
Plata POS decont deplasare Galati,Salary,Decont deplasare
AIR FRANCE ROM 12345,Travel,Air France
PURCHASE DISNEY+ RO Center (RO),Subscriptions,Disney+ RO
Cumparare Electrician apartament Sun Plaza #221,Housing,Electrician apartament
Achizitie Metroul Bucuresti Drumul Taberei #001,Transport,Metroul Bucuresti
PMT POS CARL'S JR Park Lake RO,Restaurants,Carl's Jr
PMT POS Coursera Specialization EU RID:34521,Education,Coursera Specialization
Plata cu cardul Gazprom Vitan (RO),Transport,Gazprom
PMT Statia ITP Aviatorilor 12345,Transport,Statia ITP
POS BURGER KING Brasov AUT:887412,Restaurants,Burger King
PMT POS Vietnam Restaurant Cotroceni #001,Restaurants,Vietnam Restaurant
Bank to bank SWIFT Store 04 (RO),Transfer,Bank to bank SWIFT
RTEC CONSTANTA Galati AUT:887412,Transport,RTEC Constanta
Plata cu cardul bilet avion online Drumul Taberei #221,Travel,Bilet avion online
JYSK mobilier Iasi RID:34521,Other,JYSK mobilier
PMT E.ON Energie Romania AFI Cotroceni 12345,Utilities,E.ON Energie Romania
POS OnlyFans subscription Oradea AUT:887412,Subscriptions,OnlyFans subscription
Plata POS decont deplasare Floreasca #221,Salary,Decont deplasare
Plata cu cardul CNAIR Rovinieta Timisoara RO,Transport,CNAIR Rovinieta
Plata POS cablu tv + internet Promenada AUT:887412,Utilities,Cablu TV + Internet
Plata cu cardul PATISERIE BOULANGERIE Center 12345,Other,Patiserie Boulangerie
PURCHASE ADOBE PHOTOSHOP Mall,Subscriptions,Adobe Photoshop
Cumparare lukoil Mall Vitan AUT:887412,Transport,Lukoil
PMT Sushi Master Center #4321,Restaurants,Sushi Master
Achizitie Chirie luna iunie RO AUT:887412,Housing,Chirie luna iunie
iaBilet Brasov #221,Entertainment,iaBilet
Cumparare agoda Floreasca (RO),Travel,Agoda
Plata cu cardul Rovinieta Floreasca (RO),Transport,Rovinieta
Cumparare Spitalul Coltea EU AUT:887412,Health,Spitalul Coltea
Plata POS chirie luna iulie Bucuresti 12345,Housing,Chirie luna iulie
Cumparare Metrorex Iasi RO,Transport,Metrorex
PURCHASE icloud storage 200gb Drumul Taberei #14,Subscriptions,iCloud Storage 200GB
PMT Shein order Store 04 #221,Other,Shein order
PURCHASE Carwash Express Aviatorilor RO,Transport,Carwash Express
PMT POS PLATA CONTRACT DREPTURI AUTOR ROM 12345,Salary,Plata contract drepturi autor
POS colegiul mihai viteazul Bucuresti RID:34521,Education,Colegiul Mihai Viteazul
POS STEAM Mall AUT:887412,Entertainment,Steam
Plata POS Interactive Brokers Drumul Taberei (RO),Investments,Interactive Brokers
Cumparare terasa vara herastrau Drumul Taberei AUT:887412,Restaurants,Terasa Vara Herastrau
POS uber eats Center #001,Restaurants,Uber Eats
PURCHASE DIRECT DEPOSIT PAYROLL Sun Plaza #001,Salary,Direct Deposit Payroll
Achizitie bank to bank swift Sibiu (RO),Transfer,Bank to bank SWIFT
PURCHASE Five Guys Vitan RO,Restaurants,Five Guys
Achizitie CFR Calatori Timisoara (RO),Transport,CFR Calatori
POS AMAZON ORDER Store 04 #221,Other,Amazon order
PURCHASE up card Cluj #001,Other,Up Card
Plata POS five guys Constanta #221,Restaurants,Five Guys
PURCHASE UNISWAP SWAP Park Lake (RO),Investments,Uniswap swap
Plata POS BOOTCAMP CODING Constanta #221,Education,Bootcamp Coding
Plata cu cardul enel*fact EU RO,Utilities,ENEL*FACT
Plata POS Hostel Friends Baneasa #221,Travel,Hostel Friends
POS Beauty Salon Pretty ROM #221,Other,Beauty Salon Pretty
POS CEC VIRAMENT Cotroceni 12345,Transfer,CEC virament
Hardee's Vitan 12345,Restaurants,Hardee's
PURCHASE Apometru index Sun Plaza 12345,Utilities,Apometru index
SANADOR Online AUT:887412,Health,Sanador
Vercel Pro Downtown 12345,Subscriptions,Vercel Pro
dentist brilliant Aviatorilor,Health,Dentist Brilliant
POS BERE SI GRILL RO,Restaurants,Bere si grill
vietnameza pipera Pipera AUT:887412,Restaurants,Vietnameza Pipera
Loft Cafe Timisoara #001,Restaurants,Loft Cafe
PMT POS WordPress.com Premium AFI Cotroceni 12345,Subscriptions,WordPress.com Premium
Plata cu cardul Brilliant.org Bucharest #221,Education,Brilliant.org
POS Wendys Branch 12 RID:34521,Restaurants,Wendys
Cumparare TAXA SCOLARIZARE LICENTA RO (RO),Education,Taxa scolarizare licenta
POS Cofetaria Boema Ploiesti,Other,Cofetaria Boema
PMT coop Brasov 12345,Groceries,Coop
POS DISNEY PLUS Ploiesti (RO),Subscriptions,Disney Plus
Plata POS british airways Aviatorilor RO,Travel,British Airways
Cumparare CEZ Romania Oradea #4321,Utilities,CEZ Romania
POS FRONTENDMASTERS Brasov 12345,Education,FrontendMasters
POS Gazprom Ploiesti 12345,Transport,Gazprom
PMT TAROM BILET ONLINE RO AUT:887412,Travel,TAROM bilet online
Cumparare CRYPTO AIRDROP RO AUT:887412,Investments,Crypto airdrop
Plata POS Leroy Merlin Bucharest #221,Other,Leroy Merlin
Plata cu cardul vila carpati Mall #14,Travel,Vila Carpati
PURCHASE cinemax iulius mall Online RO,Entertainment,Cinemax Iulius Mall
Plata POS kfc Vitan #221,Restaurants,KFC
Achizitie Trader Joe's Mall Vitan AUT:887412,Groceries,Trader Joe's
POS CABINET STOMATOLOGIC BRIGHT Cluj AUT:887412,Health,Cabinet Stomatologic Bright
POS Acuarela Cafe Sibiu 12345,Restaurants,Acuarela Cafe
Plata POS RAJA CONSTANTA RO #001,Utilities,Raja Constanta
Plata POS edX MicroMasters ROM AUT:887412,Education,edX MicroMasters
Achizitie brutaria boromir Ploiesti #221,Groceries,Brutaria Boromir
Cumparare Shake Shack Downtown,Restaurants,Shake Shack
Plata cu cardul Decathlon Branch 12 #4321,Other,Decathlon
Plata cu cardul Manual Editura Niculescu Pipera #001,Education,Manual Editura Niculescu
Cumparare Scoala Generala 4 Timisoara AUT:887412,Education,Scoala Generala 4
Boromir Prod Cotroceni AUT:887412,Groceries,Boromir Prod
Plata POS Uber EU #14,Transport,Uber
PMT Libraria Diverta Vitan 12345,Education,Libraria Diverta
Cumparare Farmacia Tei Aviatorilor (RO),Health,Farmacia Tei
PMT POS taxa scolarizare licenta EU #4321,Education,Taxa scolarizare licenta
POS RADET BUCURESTI Oradea,Utilities,Radet Bucuresti
Cumparare BRITISH AIRWAYS Online (RO),Travel,British Airways
PMT Intretinere Cotroceni #14,Housing,Intretinere
PURCHASE mcdonalds Online #001,Restaurants,McDonalds
Achizitie ALBINUTA MAGAZIN Online RID:34521,Groceries,Albinuta Magazin
Achizitie Pluralsight Pipera AUT:887412,Education,Pluralsight
Plata cu cardul TakeAway Promenada #001,Restaurants,TakeAway
Achizitie STRADIVARIUS Center AUT:887412,Other,Stradivarius
PMT Audible Online,Subscriptions,Audible
PMT RATBV Brasov Drumul Taberei #14,Transport,RATBV Brasov
Cumparare sepa credit transfer Center RO,Transfer,SEPA Credit Transfer
PURCHASE NINTENDO ESHOP Oradea (RO),Entertainment,Nintendo eShop
PURCHASE CAMIN BUCURESTI Bucharest,Education,Camin Bucuresti
PURCHASE Optica Optiblu EU RID:34521,Health,Optica Optiblu
POS CAFENEA AVIATORILOR Center,Restaurants,Cafenea Aviatorilor
PURCHASE Factura internet Aviatorilor 12345,Utilities,Factura internet
CITIRE CONTOR Park Lake (RO),Utilities,Citire contor
ase taxa master Baneasa #14,Education,ASE Taxa Master
PMT DECATHLON Cotroceni 12345,Other,Decathlon
Achizitie Curatenie apartament AFI Cotroceni #4321,Housing,Curatenie apartament
Recoltare analize EU AUT:887412,Health,Recoltare analize
PURCHASE Internet la Domiciliu RO #4321,Utilities,Internet la Domiciliu
Achizitie YouTube Premium Online AUT:887412,Subscriptions,YouTube Premium
Achizitie Cabinet Dermatologie Bucuresti (RO),Health,Cabinet Dermatologie
Cumparare VRBO Promenada RID:34521,Travel,Vrbo
Plata cu cardul Mega Image Galati RID:34521,Groceries,Mega Image
Cumparare Chick-fil-A RO #221,Restaurants,Chick-fil-A
Achizitie ASIGURARE CASA ALLIANZ Branch 12 AUT:887412,Housing,Asigurare casa Allianz
COURSERA PLUS Online #221,Education,Coursera Plus
M60 Coffee Iasi #4321,Restaurants,M60 Coffee
Cumparare patreon membership Floreasca 12345,Subscriptions,Patreon membership
Cumparare Black Cab Online #4321,Transport,Black Cab
Cumparare la placinte Bucuresti RID:34521,Restaurants,La Placinte
Plata POS Opera Nationala Promenada (RO),Entertainment,Opera Nationala
PMT POS BINANCE DEPOSIT Cotroceni #14,Investments,Binance deposit
PMT POS CAFENEA AVIATORILOR Baneasa RO,Restaurants,Cafenea Aviatorilor
Plata cu cardul Cinema City Center #4321,Entertainment,Cinema City
PMT SMASHBURGER Online #221,Restaurants,Smashburger
PURCHASE CASA RUSU MOBILIER Baneasa (RO),Other,Casa Rusu mobilier
PMT POS datacamp premium Floreasca (RO),Education,DataCamp Premium
PMT POS eventim Store 04 12345,Entertainment,Eventim
PURCHASE Casa Inteligenta administrare Bucharest 12345,Housing,Casa Inteligenta administrare
PMT Transfer cont curent Constanta (RO),Transfer,Transfer cont curent
PURCHASE charles schwab EU #221,Investments,Charles Schwab
POS CENTRUL MEDICAL AVIATORILOR Vitan RID:34521,Health,Centrul Medical Aviatorilor
PURCHASE MANUAL EDITURA NICULESCU Galati,Education,Manual Editura Niculescu
Achizitie Administrator bloc 28 EU #14,Housing,Administrator bloc 28
Achizitie Asigurare casa Allianz Center #001,Housing,Asigurare casa Allianz
RTEC Constanta Sibiu #14,Transport,RTEC Constanta
POS LA PLACINTE Constanta AUT:887412,Restaurants,La Placinte
Plata cu cardul CARTURESTI ONLINE Online RID:34521,Education,Carturesti Online
Plata POS M60 Coffee Mall #001,Restaurants,M60 Coffee
Achizitie KARAOKE BAR AVANT Constanta #14,Entertainment,Karaoke Bar Avant
Cumparare Gaze Naturale Galati #001,Utilities,Gaze Naturale
Achizitie velorent AFI Cotroceni (RO),Transport,VeloRent
PMT Five Guys Downtown,Restaurants,Five Guys
PMT HOTEL CISMIGIU Sun Plaza,Travel,Hotel Cismigiu
Achizitie STRAVA PREMIUM Ploiesti #14,Subscriptions,Strava Premium
Plata cu cardul Gaze Naturale EU #221,Utilities,Gaze Naturale
PURCHASE asociatie locatari Store 04 #4321,Housing,Asociatie locatari
Achizitie ORANGE ROMANIA FIXED Ploiesti AUT:887412,Utilities,Orange Romania Fixed
Cumparare Amazon.com Online #14,Other,Amazon.com
PMT POS PRET A MANGER Galati,Restaurants,Pret a Manger
PIATA MATACHE Constanta #221,Groceries,Piata Matache
PURCHASE RATB Cotroceni #221,Transport,RATB
POS ONLYFANS SUBSCRIPTION Sibiu #14,Subscriptions,OnlyFans subscription
city tour lisbon Store 04 #001,Travel,City tour Lisbon
POS TRADER JOE'S Mall #221,Groceries,Trader Joe's
Plata POS CLINICA POLISANO Mall AUT:887412,Health,Clinica Polisano
PMT POS Decont salarial Bucuresti #001,Salary,Decont salarial
POS Administrator bloc 28 Mall RID:34521,Housing,Administrator bloc 28
PMT db bahn Online AUT:887412,Transport,DB Bahn
Plata POS escape room adventure Oradea RO,Entertainment,Escape Room Adventure
POS XPRESS MARKET Bucharest AUT:887412,Groceries,XPRESS Market
Achizitie Panera Bread Branch 12 RO,Restaurants,Panera Bread
POS Setapp Mall #001,Subscriptions,Setapp
POS P2P CRYPTO EXCHANGE RO AUT:887412,Investments,P2P crypto exchange
Cumparare ENERGIEA BAR Baneasa,Restaurants,Energiea Bar
PURCHASE Calm app Bucharest #4321,Subscriptions,Calm app
PURCHASE psn store Cotroceni RO,Entertainment,PSN Store
Plata POS Frizerie Old School EU,Other,Frizerie Old School
PMT icloud storage 200gb Brasov AUT:887412,Subscriptions,iCloud Storage 200GB
POS burgerking Aviatorilor AUT:887412,Restaurants,BURGERKING
ROYALTY PAYMENT AMAZON Timisoara (RO),Salary,Royalty payment Amazon
PURCHASE LIFECLUB SALA Downtown (RO),Health,Lifeclub Sala
Achizitie ONLYFANS SUBSCRIPTION Bucuresti RO,Subscriptions,OnlyFans subscription
Plata cu cardul steam Brasov (RO),Entertainment,Steam
ABOUT YOU Bucharest 12345,Other,About You
Plata cu cardul enel*fact Drumul Taberei #14,Utilities,ENEL*FACT
Plata POS Lufthansa Group Bucharest AUT:887412,Travel,Lufthansa Group
